id,name,class_year,video_index,source_url,video_rights_approved,captions_approved,transcript_approved,video_kiosk_approved,media_notes
jack-kahl-2016,Jack Kahl,2016,3,https://www.youtube.com/embed/eKdfG3zz9Os?si=ImEeFHgzcCvxx-_j,,,,,
jim-craciun-2017,Jim Craciun,2017,1,https://www.youtube.com/embed/XZh7vcFsUns?si=bQd8xuGZUYvAYYxi,,,,,
joe-valencic-2020,Joe Valencic,2020,1,https://www.youtube.com/embed/k8t6kOylcgE,,,,,
johnny-k-wu-2024,Johnny K. Wu,2024,1,https://www.youtube.com/embed/P34omi5XUiY?feature=oembed,,,,,
joyce-mariani-2023,Joyce Mariani,2023,1,https://www.youtube.com/embed/khFzLbaSw0o,,,,,
khalid-samad-2016-2016,Khalid Samad,2016,1,https://www.youtube.com/embed/YT9DTiZdJpQ?si=fgN08aS6WVQnrgdT,,,,,
khalid-samad-2016-2016,Khalid Samad,2016,2,https://www.youtube.com/embed/kkjaaUZr2ps?si=UJuJTljl8hb7c1vc,,,,,
khalid-samad-2016-2016,Khalid Samad,2016,3,https://www.youtube.com/embed/mqCQvmZsu88?si=hlP7OTvRJEp3Zr_3,,,,,
le-nguyen-2026,Le Nguyen,2026,1,https://www.youtube.com/embed/T5peEDc8mE8?feature=oembed,,,,,
lucy-torres-2026,Lucy Torres,2026,1,https://www.youtube.com/embed/TU54lNScxz4?feature=oembed,,,,,
margaret-lynch-2020,Margaret Lynch,2020,1,https://www.youtube.com/embed/mTJMMiUk5nI,,,,,
marilyn-madigan-2019,Marilyn Madigan,2019,1,https://www.youtube.com/embed/PgUsrTbLHJ4,,,,,
may-chen-2020,May Chen,2020,1,https://www.youtube.com/embed/yxyHzJyqYt0,,,,,
may-chen-2020,May Chen,2020,2,https://www.youtube.com/embed/QDE5BVEyNKg,,,,,
mayor-frank-jackson-2025,Mayor Frank Jackson,2025,1,https://www.youtube.com/embed/diVkkJkn0sY?feature=oembed,,,,,
michael-d-polensek-2023,Michael D. Polensek,2023,1,https://www.youtube.com/embed/IYv4tYCJ3m8,,,,,
mohan-bafna-2016,Mohan Bafna,2016,1,https://www.youtube.com/embed/KuSMhQ_yG_k?si=YfKA722TULF-9Z4n,,,,,
mohan-bafna-2016,Mohan Bafna,2016,2,https://www.youtube.com/embed/KAhoZMRbZnA?si=naIpsNBE_cDXgL4H,,,,,
mohan-bafna-2016,Mohan Bafna,2016,3,https://www.youtube.com/embed/iX7-ecPZvy4?si=nTGmVayn8_Unh24s,,,,,
mona-alag-2017,Mona Alag,2017,1,https://www.youtube.com/embed/2mG5GMQXUZQ?si=SFzi8pjBTdQCgNfx,,,,,
paul-burik-2019,Paul Burik,2019,1,https://www.youtube.com/embed/b_zP9VqXJbY,,,,,
pierre-bejjani-2023,Pierre Bejjani,2023,1,https://www.youtube.com/embed/11fqd7MQ8Fs,,,,,
raj-aggarwal-2025,Raj Aggarwal,2025,1,https://www.youtube.com/embed/DoZUzteeFMU?feature=oembed,,,,,
ralph-perk-jr-2018,Ralph Perk Jr.,2018,1,https://www.youtube.com/embed/QxG7VrfKyXo?si=n4QQv7xDw4nsyl6F,,,,,
ralph-perk-jr-2018,Ralph Perk Jr.,2018,2,https://www.youtube.com/embed/8CPuLovefwA?si=lHz3ruiZWG80xhmJ,,,,,
ramesh-shah-2020,Ramesh Shah,2020,1,https://www.youtube.com/embed/fEHO9Uwgb9g,,,,,
ramesh-shah-2020,Ramesh Shah,2020,2,https://www.youtube.com/embed/-5gDFAKdaXM?feature=oembed,,,,,
ray-pianka-2018,Ray Pianka,2018,1,https://www.youtube.com/embed/D1Rgv29APUk?si=KKqadeqKAcH5BLTv,,,,,
richard-a-ganim-2015,Richard A. Ganim,2015,1,https://www.youtube.com/embed/M384Uvg0bh8?si=p2sFo9zbO659RxR5,,,,,
